Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1961","1961","t","20000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5910","Export quantity","3102","Nutrient nitrogen N (total)","1961","1961","t","4000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1961","1961","t","16000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1961","1961","kg/ha","27.43","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1961","1961","kg/cap","2.94","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1961","1961","g/Int$","5.1","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1962","1962","t","29455","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5910","Export quantity","3102","Nutrient nitrogen N (total)","1962","1962","t","5325","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1962","1962","t","23720","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1962","1962","kg/ha","40.48","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1962","1962","kg/cap","4.26","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1962","1962","g/Int$","7.26","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1963","1963","t","29145","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5910","Export quantity","3102","Nutrient nitrogen N (total)","1963","1963","t","5325","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1963","1963","t","22945","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1963","1963","kg/ha","40.07","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1963","1963","kg/cap","4.03","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1963","1963","g/Int$","7.18","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1964","1964","t","27400","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5910","Export quantity","3102","Nutrient nitrogen N (total)","1964","1964","t","5100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1964","1964","t","21500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1964","1964","kg/ha","37.93","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1964","1964","kg/cap","3.71","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1964","1964","g/Int$","6.68","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1965","1965","t","34300","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5910","Export quantity","3102","Nutrient nitrogen N (total)","1965","1965","t","8600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1965","1965","t","25300","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1965","1965","kg/ha","45.09","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1965","1965","kg/cap","4.32","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1965","1965","g/Int$","8.3","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1966","1966","t","37800","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5910","Export quantity","3102","Nutrient nitrogen N (total)","1966","1966","t","6300","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1966","1966","t","30800","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1966","1966","kg/ha","55.78","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1966","1966","kg/cap","5.2","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1966","1966","g/Int$","9.49","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1967","1967","t","37500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5910","Export quantity","3102","Nutrient nitrogen N (total)","1967","1967","t","4600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1967","1967","t","31700","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1967","1967","kg/ha","58.5","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1967","1967","kg/cap","5.29","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1967","1967","g/Int$","9.01","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1968","1968","t","36400","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1968","1968","t","1100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5910","Export quantity","3102","Nutrient nitrogen N (total)","1968","1968","t","4000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1968","1968","t","33100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1968","1968","kg/ha","61.61","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1968","1968","kg/cap","5.45","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1968","1968","g/Int$","9.5","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1969","1969","t","29000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1969","1969","t","6800","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1969","1969","t","34700","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1969","1969","kg/ha","64.43","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1969","1969","kg/cap","5.65","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1969","1969","g/Int$","9.99","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1970","1970","t","25400","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1970","1970","t","11300","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1970","1970","t","36700","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1970","1970","kg/ha","68.93","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1970","1970","kg/cap","5.94","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1970","1970","g/Int$","10.61","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1971","1971","t","24900","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1971","1971","t","12700","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1971","1971","t","37200","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1971","1971","kg/ha","69.72","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1971","1971","kg/cap","5.99","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1971","1971","g/Int$","10.6","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1972","1972","t","26500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1972","1972","t","13400","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1972","1972","t","39300","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1972","1972","kg/ha","72.39","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1972","1972","kg/cap","6.28","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1972","1972","g/Int$","11.7","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1973","1973","t","26400","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1973","1973","t","15600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1973","1973","t","41500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1973","1973","kg/ha","76.43","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1973","1973","kg/cap","6.58","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1973","1973","g/Int$","11.56","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1974","1974","t","29400","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1974","1974","t","9100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1974","1974","t","37900","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1974","1974","kg/ha","69.27","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1974","1974","kg/cap","5.98","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1974","1974","g/Int$","10.68","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1975","1975","t","29400","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1975","1975","t","15900","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1975","1975","t","44300","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1975","1975","kg/ha","79.86","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1975","1975","kg/cap","6.99","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1975","1975","g/Int$","12.06","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1976","1976","t","31500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1976","1976","t","22100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1976","1976","t","50600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1976","1976","kg/ha","91.05","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1976","1976","kg/cap","8.03","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1976","1976","g/Int$","13.66","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1977","1977","t","31300","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1977","1977","t","24600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1977","1977","t","55000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1977","1977","kg/ha","98.82","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1977","1977","kg/cap","8.76","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1977","1977","g/Int$","15.08","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1978","1978","t","32000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1978","1978","t","30000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1978","1978","t","63500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1978","1978","kg/ha","112.53","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1978","1978","kg/cap","10.11","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1978","1978","g/Int$","16.83","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1979","1979","t","35100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1979","1979","t","33500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1979","1979","t","64500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1979","1979","kg/ha","113.8","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1979","1979","kg/cap","10.25","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1979","1979","g/Int$","15.97","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1980","1980","t","32800","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1980","1980","t","33000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1980","1980","t","65600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1980","1980","kg/ha","114.06","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1980","1980","kg/cap","10.38","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1980","1980","g/Int$","16.69","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1981","1981","t","32500","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1981","1981","t","29700","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1981","1981","t","62900","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1981","1981","kg/ha","108.31","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1981","1981","kg/cap","9.9","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1981","1981","g/Int$","16.24","E","Estimated value",""
